sample;metabarcoding_RS;real_RS;nbr_FNI-fail;nbr_FNI-threshold
CMEY01405;19;18;2;0
CMEY01406;9;9;0;0
CMEY01407;20;27;8;1
CMEY01408;16;18;4;1
CMEY01409;16;17;2;2
CMEY01410;9;9;0;1
CMEY01411;2;3;0;1
CMEY01412;2;5;3;0
CMEY01413;10;11;1;1
CMEY01414;11;10;0;0
CMEY01415;7;9;1;1
CMEY01416;6;11;4;3
CMEY01417;10;9;0;0
CMEY01418;5;7;0;2
CMEY01419;2;2;0;0
CMEY01420;10;12;0;2
CMEY01421;11;14;2;2
CMEY01422;8;8;1;1
CMEY01423;5;4;0;0
CMEY01424;4;7;3;1
CMEY01425;14;13;2;0
CMEY01426;4;6;2;1
CMEY01427;18;16;1;1
CMEY01428;12;9;0;1
CMEY01429;6;4;0;0
CMEY01430;10;10;0;1
CMEY01431;2;2;0;0
CMEY01432;3;4;1;0
CMEY01433;9;7;0;0
CMEY01434;5;3;1;1
CMEY01435;10;7;0;0
CMEY01436;10;9;0;0
CMEY01437;16;15;0;1
CMEY01438;5;4;0;0
CMEY01439;7;6;0;1
CMEY01440;11;11;1;0
CMEY01441;4;14;10;0
CMEY01442;6;6;0;1
CMEY01443;5;7;1;1
CMEY01444;6;5;0;0
CMEY01445;5;5;0;0
CMEY01446;7;11;3;1
CMEY01447;11;12;2;1
CMEY01448;10;6;0;0
CMEY01449;9;6;0;0
CMEY01450;13;8;0;0
CMEY01451;3;3;0;0
CMEY01452;7;5;0;0
CMEY01453;10;9;0;0
CMEY01454;10;9;1;0
CMEY01455;2;3;1;0
CMEY01456;3;2;0;0
CMEY01457;2;2;0;0
CMEY01458;20;9;0;1
CMEY01459;0;15;15;0
CMEY01460;7;7;0;1
CMEY01461;4;11;7;0
CMEY01462;12;12;1;0
CMEY01463;10;6;3;0
CMEY01464;8;11;3;0
CMEY01465;7;7;0;0
CMEY01466;14;11;0;1
CMEY01467;12;12;1;0
CMEY01468;7;7;0;0
CMEY01469;8;6;1;1
CMEY01470;10;9;0;1
CMEY01471;5;5;0;0
CMEY01472;4;2;0;0
CMEY01473;9;13;4;0
CMEY01474;12;10;1;0
CMEY01475;0;5;5;0
CMEY01477;5;5;1;0
CMEY01478;5;6;2;0
CMEY01479;14;16;2;1
CMEY01480;8;11;3;0
CMEY01481;1;1;0;0
CMEY01482;12;7;0;0
CMEY01483;14;17;4;0
CMEY01484;11;11;2;1
CMEY01485;15;13;0;1
CMEY01486;8;8;0;0
CMEY01487;11;11;0;0
CMEY01488;15;12;0;0
CMEY01489;11;11;1;0
CMEY01490;21;18;2;1
CMEY01491;9;7;0;0
CMEY01492;12;8;1;0
CMEY01493;6;11;6;0
CMEY01494;8;9;1;0
CMEY01495;7;10;3;1
CMEY01496;14;12;2;0
CMEY01497;11;24;12;2
CMEY01498;4;2;0;0
CMEY01499;9;8;0;1
CMEY01500;11;8;0;1
CMEY01501;20;17;4;0
CMEY01502;12;14;4;1
CMEY01503;9;10;0;1
CMEY01504;8;7;0;1
CMEY01505;11;12;0;2
CMEY01506;13;20;7;1
CMEY01507;5;3;0;0
CMEY01508;10;4;0;0
CMEY01509;14;9;1;0
CMEY01510;17;4;0;0
CMEY01511;9;5;0;0
CMEY01512;9;9;1;0
CMEY01513;25;17;4;1
CMEY01514;9;15;4;4
CMEY01515;20;18;2;0
CMEY01516;23;17;2;0
CMEY01517;14;7;1;0
CMEY01518;19;12;2;1
CMEY01519;5;4;0;0
CMEY01520;8;7;0;1
CMEY01521;11;11;0;2
CMEY01522;15;13;2;0
CMEY01523;11;8;2;0
CMEY01524;13;16;4;1
